"predictor","IRR","ci_low","ci_high","cluster_label","cluster","p_IRR_gt_1","vulnerability_score","n.x","svi_score","pct_white","pct_black","pct_asian","pct_hispanic","pct_age17","pct_age65","poverty_rate","median_income","unemployment_rate","education_low","uninsured_rate","vehicle_rate","language_isolation","disability_rate","housing_overcrowding","owner_burden_rate","renter_burden_rate","outdoor_worker_rate","renter_rate","no_phone_rate","elderly_alone_rate","alt_housing_rate","old_housing_rate","n.y"
"cluster",0.401718502514572,0.347153522036094,0.464862666281143,"Hispanic / Younger / Low income",4,0,0.74991137269955,77,0.8865,0.1061648366186,0.00377080842453785,0.0061720682675729,0.830706471351752,0.324449000512558,0.0864696879782615,0.290520782772378,39464,0.117922731082832,0.466248506571087,0.13487071977638,0.0653846153846154,0.247152768687001,0.0985915492957746,0.00878348704435661,0.327132486388385,0.528610354223433,0.378079864061172,0.489572989076465,0.0174966352624495,0.164373088685015,0.0667943500119703,0.48544061302682,77
"cluster",0.376920573472386,0.322625233898429,0.440355912048954,"White / Mid-high income",16,0,0.484269293924466,49,0.3772,0.646545346944814,0.00702767749699158,0.0289208074534161,0.298355001326612,0.215189317403145,0.174625164793422,0.0819366852886406,83788,0.0484048404840484,0.119417962870045,0.0676718476357268,0.0218242865137101,0.0536378801488515,0.10655090765588,0.00267467698131841,0.311522048364154,0.438470728793309,0.14043583535109,0.272413793103448,0.0139899272523783,0.193798449612403,0.0694844700608389,0.474882112543225,49
"cluster",0.278343008053718,0.238611204404185,0.324690891912882,"White / Older / High income",28,NA,0.296039338993117,47,0.1532,0.809515969706948,0.00928571428571429,0.0613269674020415,0.0746268656716418,0.190836338052942,0.229891680110625,0.0572616602374631,129727,0.0434147359632645,0.0233983286908078,0.024695423114916,0.0419019857897613,0.0114771202861827,0.0854728500384102,0,0.333693410586271,0.455188679245283,0.0439346228819913,0.307218083740046,0.0116375727348296,0.24855097170133,0.00284757118927973,0.745876204474931,47
"cluster",0.251760293825819,0.215683028023994,0.293873631258287,"Hispanic / Younger / Mid-low income",10,0,0.667718810436052,45,0.8281,0.304547336461496,0.0140044370493622,0.0280848900749778,0.603658719448193,0.291656067158484,0.121826347305389,0.194467269241304,53438,0.0938488071284852,0.28001444304026,0.091344798421201,0.0623479318734793,0.123355632380012,0.128284499475192,0.00482301266040823,0.273959103227396,0.496149327764,0.203369357914812,0.42619926199262,0.0176114474408365,0.239263803680982,0.0528297581013236,0.531968010832311,45
"cluster",0.246715849393435,0.206088069301981,0.295354509385103,"White / Mid-low income",26,0,0.513874068460275,26,0.72635,0.401419213973799,0.0790150910556107,0.158815533532012,0.201939553805555,0.0933311712361535,0.142308962046793,0.228573323165678,52643,0.0626016260162602,0.148965371718436,0.0751445086705202,0.281648445322149,0.0954494532818359,0.147306397306397,0.0101321216927544,0.339302493875615,0.474943712115994,0.0303401027648642,0.855998585001011,0.0353159504516554,0.456165709993986,0.00125434479460081,0.689468448689608,26
"cluster",0.240683952378483,0.207684335740692,0.278928200441376,"White / Mid-high income",22,0,0.490571140494915,57,0.5982,0.621592403214025,0.0237852300297032,0.0481907223507006,0.254233722520248,0.215825471698113,0.15417199488491,0.116205030245145,68611,0.0590184432635198,0.09880386695068,0.0679258990192517,0.0512355279073786,0.0376376125207791,0.127845147469492,0.00226845550586558,0.300178890876565,0.515859766277129,0.0852246410375174,0.39800854821286,0.0174593142676568,0.27486355366889,0.0515665217005414,0.531363615444797,57
"cluster",0.223616060947951,0.178727921882465,0.279777943074766,"White / Mid-low income",15,0,0.518711658456486,10,0.7468,0.629009162038295,0.020488037340424,0.135792444258538,0.167934875841661,0.169624497226809,0.174310193397939,0.155900778183616,56893.5,0.0780464903821753,0.133880857792232,0.0905539540741384,0.101594693816749,0.173546051225156,0.139223299711634,0.00207007929377796,0.406896684791268,0.596267819410485,0.0492166060749876,0.665565476605797,0.0176746734329812,0.236031579287685,0.0036773390806903,0.74790513233206,10
"cluster",0.222066533777463,0.191589290713142,0.257392196419634,"White / Mid-high income",24,0,0.404363696074041,55,0.4357,0.624111182934712,0.0482096887432717,0.0829647500335076,0.153011674759789,0.148028442146089,0.147782211244115,0.115021261442427,79534,0.0561090718405873,0.057217416517663,0.0642737896494157,0.0825411546487364,0.0357453016986834,0.0981748318924111,0.0021088490550734,0.338373655913978,0.494283714419039,0.0289047997878547,0.636613021214338,0.0200773623135016,0.337885462555066,0.00158669713125159,0.792404429706563,55
"cluster",0.215123352371724,0.185138032100849,0.249965158736599,"Hispanic & White / Mid-low income",1,0,0.58720197044335,45,0.8018,0.45835324639858,0.0919468951715196,0.0593000282246684,0.321128464830708,0.235771592150363,0.133088122605364,0.218955302425858,48312,0.0980769230769231,0.154719589257504,0.0803239017125838,0.0900173495262245,0.0541499537179883,0.146008810572687,0.00352581160191591,0.292555960437272,0.555934128336173,0.0754332313965341,0.536610661688446,0.0217973697028738,0.300296345077379,0.0299334121600597,0.682487539646579,45
"cluster",0.202987195840068,0.174863551646564,0.235634705521082,"Hispanic & White / Younger / Mid-high income",23,0,0.546636337293538,51,0.6234,0.329179804733503,0.0569941296046507,0.0806520938229154,0.464250511790128,0.268445340264149,0.0992861234126374,0.121108724040608,73086,0.0719804275045068,0.186969674610787,0.0773241469205344,0.033695652173913,0.0705014346222162,0.099840077038158,0.00424507381359691,0.308010530274539,0.506420733130983,0.087609723160027,0.344072524407252,0.0155763239875389,0.176710235953149,0.045776872849821,0.316973111901937,51
