"GEOID","cluster","cluster_label","total_pop","pct_white","pct_black","pct_asian","pct_hispanic","median_age","poverty_rate","median_income","unemployment_rate","education_low","uninsured_rate","language_isolation","disability_rate","housing_overcrowding","owner_burden_rate","renter_burden_rate","outdoor_worker_rate"
"91737",18,"White / Mid-high income",25339,0.473183629977505,0.0487390978333794,0.120604601602273,0.315758317218517,40.7,0.0600428027901078,105406,0.0460811943026887,0.0685878962536023,0.0456036356451294,0.038356504468719,0.0897846275439636,0.00263256863482512,0.306701940035273,0.52579107065453,0.0764931331842862
"91740",18,"White / Mid-high income",26115,0.435611717403791,0.0272640245069883,0.0912119471568064,0.409764503159104,40.5,0.107442244873864,82447,0.0736164545723587,0.142656131615976,0.0613496932515337,0.0454123065734718,0.121362277803996,0.00275218379801364,0.354964539007092,0.51601030548399,0.0630141362510982
"96121",4,"White / Older / Mid-low income",317,0.987381703470032,0,0,0.0126182965299685,55.9,0,87596,0,0,0.0630914826498423,0,0.0441640378548896,0,0,0,0.368055555555556
"96104",4,"White / Older / Mid-low income",603,0.855721393034826,0,0,0.0995024875621891,52.4,0.0813559322033898,43438,0.00444444444444444,0.101149425287356,0.0457627118644068,0.00174825174825175,0.108474576271186,0,0.330143540669856,0.1,0.321428571428571
"92395",17,"Hispanic / Younger / Low income",42741,0.345172083011628,0.118527877213916,0.0306029339510072,0.478673872862123,33.2,0.238918816746999,47921,0.13322110640274,0.193786182940949,0.0858044609840545,0.0544383505992281,0.13936453352804,0.00193610842207164,0.31645754304056,0.606083650190114,0.075207607822127
"92649",20,"White / High income",34406,0.673981282334477,0.0102017090042434,0.116200662675115,0.147154566064059,45.4,0.080819877952641,97459,0.0396878714278332,0.0662561295472688,0.0384257102934327,0.0234949501113722,0.098596879366558,0,0.309736540664376,0.407649084647453,0.0505838669751924
"92276",10,"White & Hispanic / Mid-low income",7772,0.38188368502316,0.0268914050437468,0.00977869274318065,0.576685537828101,45.2,0.11537471027556,44970,0.0607966457023061,0.201884740848133,0.132655687081832,0.0931796349663785,0.175759135357694,0.00221647580347248,0.298189563365282,0.410132689987937,0.124627976190476
"91406",13,"Hispanic / Younger / Mid-low income",55215,0.267101331160011,0.0460382142533732,0.091225210540614,0.561278638051254,35.4,0.174156079854809,55542,0.0724472146982998,0.23232513668561,0.129442913100247,0.166327847062043,0.0889670680400406,0.0144543749310383,0.423527770025119,0.618339416058394,0.0969285437849629
"91504",16,"Mixed race / High income",26863,0.521646874883669,0.0297062874585862,0.16438968097383,0.236533521944682,38.5,0.0971898715155158,75825,0.0676626921419336,0.0863870180834703,0.068704848439711,0.0713369669765951,0.0935800997989126,0.00786063309963884,0.327769957771969,0.529160099076785,0.0332819722650231
"91423",22,"White / Mid-high income",33737,0.685508492159943,0.060823428283487,0.067077689183982,0.137030559919376,39,0.0810061693440229,83732,0.0593396444239206,0.0362512077294686,0.0689131664334832,0.0165073575650862,0.0764742654719733,0.000588043123162365,0.327031509121061,0.548463611859838,0.0228276877761414
"94707",14,"White / Older / High income",11916,0.747650218194025,0.016028868747902,0.10918093319906,0.0485901309164149,50.8,0.0458676990405656,149081,0.0313275434243176,0.0187351093783842,0.0105740181268882,0.0156985871271586,0.090298757972474,0,0.258167526406288,0.274683544303797,0.0270573166826769
"92688",20,"White / High income",45178,0.59444862543716,0.0270264287927752,0.122404710257205,0.213112576917969,36.3,0.0472297910990009,108876,0.0299123661148978,0.0472089857045609,0.0411841551712685,0.0301494321578004,0.0557536036135775,0.00111933337479013,0.357678244972578,0.536276988912663,0.0420363753161762
"92656",20,"White / High income",52124,0.599013889954723,0.0179763640549459,0.149393753357379,0.186842913053488,37.1,0.0423699287705172,108288,0.0450955742513619,0.0386397884620852,0.0370647625628623,0.0318943166385448,0.0582172060347806,0.000779139829628091,0.314875042793564,0.521405919661734,0.0382460167431812
"91436",14,"White / Older / High income",15070,0.819907100199071,0.0143331121433311,0.0613802256138023,0.0865958858659589,47.1,0.0350970841395876,149423,0.0308483290488432,0.051960961503705,0.0259558283846,0.0260597637248089,0.114699406151998,0,0.292223985490818,0.540152155536771,0.0208222811671088
"96112",7,"White / Older / Low income",202,0.435643564356436,0.0099009900990099,0.0247524752475248,0.0693069306930693,34.5,0.225,44500,0.298507462686567,0.142857142857143,0.0742574257425743,0.00537634408602151,0.0891089108910891,0,0.269230769230769,0.153846153846154,0.148936170212766
"96113",10,"White & Hispanic / Mid-low income",1957,0.443536024527338,0.16300459887583,0.0189064895247828,0.277976494634645,35.9,0.0900243309002433,48824,0.198529411764706,0.259837601499063,0.0231143552311436,0.0649895178197065,0.193430656934307,0,0.0957446808510638,0.158415841584158,0.0152905198776758
"92630",16,"Mixed race / High income",61304,0.527730653790944,0.0171603810518074,0.151017878115621,0.261239070859976,40,0.0860573934099015,92552,0.0484600412182276,0.0911562776153898,0.0808781429436111,0.0513334254525356,0.081303472983363,0.00296693981350664,0.314898972243585,0.551579858606262,0.0539963300544476
"92678",12,"White / Mid-high income",570,0.710526315789474,0.00350877192982456,0.0666666666666667,0.182456140350877,42.8,0.105360443622921,90962,0.0523255813953488,0.119221411192214,0.22735674676525,0.0230769230769231,0.0720887245841035,0,0.551020408163265,0.577464788732394,0.220858895705521
"91364",20,"White / High income",27340,0.705559619604974,0.0682882223847842,0.0630212143379664,0.125603511338698,43.6,0.0632088976984914,103278,0.0661545913777593,0.0502029903950886,0.0520600212789375,0.0396074444791992,0.101845397512566,0.00688224757235788,0.427509814918676,0.543309352517986,0.0511300481659874
"91367",20,"White / High income",45282,0.656905613709642,0.0473256481604169,0.132701735789055,0.114615078839274,40.7,0.0965665236051502,87699,0.0720273940252686,0.0527668626466157,0.0413933249398096,0.0479998135024245,0.106023457690014,0.00444176354463698,0.380677567596452,0.508503209820926,0.0426687025490945
"91384",18,"White / Mid-high income",28842,0.444525344983011,0.058664447680466,0.074648082657236,0.377817072325081,35.3,0.0577119509703779,108102,0.0701968439889377,0.165529454659097,0.054177794734834,0.0481065609863496,0.0889821526982916,0,0.358180885621474,0.541114058355438,0.0477648499693815
"92028",12,"White / Mid-high income",49380,0.550688537869583,0.0204738760631835,0.0247671121911705,0.379647630619684,40.4,0.117124476667007,69620,0.0517744933179927,0.152542878448919,0.10427768975947,0.0613656195462478,0.108907224131191,0.00645550527903469,0.392828109475205,0.557231104651163,0.153724099309315
"91604",20,"White / High income",32117,0.734284024037114,0.0446181150169692,0.0806737864682256,0.0954323255596724,40.4,0.0630542801434053,103470,0.086448712310023,0.0223563241667004,0.0501367365542388,0.0162117993136133,0.0792757677678936,0.000472717450027012,0.321906723554509,0.464236674572463,0.0116614956670589
"92231",3,"Hispanic / Younger / Low income",40019,0.0131687448461981,0.0020740148429496,0.0061720682675729,0.977010919813089,32.9,0.250194601381042,40759,0.155587755841333,0.360425916790002,0.118658469535663,0.314727257990436,0.145798970360374,0.0104249291784703,0.332023981806905,0.589518555667001,0.124195624195624
"92040",5,"White / Older / Mid-high income",46261,0.741337195477832,0.0167743887940166,0.0184820907459847,0.171742936815028,38.3,0.0951925792366346,74918,0.0676842825380537,0.0952411087204151,0.0688101487314086,0.0172341123027209,0.123687664041995,0.00229147571035747,0.33793383397605,0.521771217712177,0.120293510662692
"92233",2,"Hispanic / Younger / Low income",7618,0.0632711997899711,0.147807823575742,0.00774481491205041,0.754528747702809,33.2,0.320255982192543,35230,0.192465192465192,0.413358419567262,0.0865331107401224,0.112952223142778,0.124930439621592,0,0.353448275862069,0.50755939524838,0.342799188640974
"92234",3,"Hispanic / Younger / Low income",53961,0.30253331109505,0.0206260076722077,0.0549285595152054,0.597079372139138,38.1,0.207360778415316,46367,0.0704532600791791,0.226968591019686,0.157380090917525,0.105275637225845,0.114574635866036,0.0145952871706312,0.382907071994175,0.582711085582998,0.0850499782703173
"90248",11,"Mixed race / Mid-low income",11512,0.101111883252259,0.149930507296734,0.30863446838082,0.415653231410702,42.6,0.111547182975754,62179,0.058057886624422,0.164444444444444,0.0878248735391593,0.121396334162292,0.116518402232688,0.00418628990057562,0.304011777695988,0.647963800904977,0.058
"90038",3,"Hispanic / Younger / Low income",27660,0.298517715112075,0.0577729573391179,0.0517353579175705,0.553073029645698,33.8,0.264748461816866,39984,0.0710867685211877,0.272112647417649,0.204266088214027,0.245766573012378,0.0672089660159075,0.04344453064391,0.442815249266862,0.588863679334468,0.0893123138033764
"92305",4,"White / Older / Mid-low income",622,0.771704180064309,0.00160771704180064,0,0.173633440514469,52.3,0.207395498392283,53854,0.0307017543859649,0.0196078431372549,0.0369774919614148,0,0.152733118971061,0,0.21875,0.473118279569892,0.081447963800905
"92029",20,"White / High income",19149,0.631155673925531,0.0164499451668494,0.0789597368008773,0.228784792939579,44.7,0.0676687791337139,90278,0.0268929244814925,0.0484643561566638,0.050034306222621,0.0237123635160472,0.101968649390405,0,0.366366940883872,0.528547201808932,0.0748521313481542
"90241",13,"Hispanic / Younger / Mid-low income",44143,0.144190471875496,0.0230387603923612,0.0710644949369096,0.748408581202003,36.1,0.108865086599818,69308,0.0674954077491563,0.219028707972941,0.131468754266988,0.11817721763019,0.0870920759182559,0.0144734898833259,0.404354587869362,0.47504835589942,0.0575839479591369
"91731",3,"Hispanic / Younger / Low income",30139,0.0443611267792561,0.00411427054646803,0.279803576761007,0.654699890507316,35.2,0.232760065707868,39383,0.0768889217790276,0.429242153610615,0.148072683545995,0.319012345679012,0.122018838933797,0.0197897340754484,0.306207783853329,0.697146302250804,0.0752765752765753
