cluster,cluster_label,vulnerability_score,n_zcta,variable,cluster_median,display_label,theme,n_clusters_observed,median_center,median_sd,standardized_median,row_order,column_order
3,Hispanic / Mid-low income,0.585511841100076,34,education_low,0.215080028349927,Low education,Socioeconomic,14,0.15657958884775813,0.11385800060210807,0.5138017459713389,3,6
3,Hispanic / Mid-low income,0.585511841100076,34,uninsured_rate,0.114574874655665,Uninsured,Socioeconomic,14,0.08327475359587691,0.038107418892367906,0.8213655495323203,3,7
3,Hispanic / Mid-low income,0.585511841100076,34,poverty_rate,0.166845558074461,Poverty,Socioeconomic,14,0.14442285783271225,0.060407781812764315,0.3711889357442153,3,8
3,Hispanic / Mid-low income,0.585511841100076,34,unemployment_rate,0.0634939868571437,Unemployment,Socioeconomic,14,0.06696040586499442,0.017169184022973683,-0.20189771413786378,3,9
3,Hispanic / Mid-low income,0.585511841100076,34,pct_age17,0.216683431576451,Age <18,Household,14,0.1928420108318432,0.0645451732531949,0.3693757339698158,3,10
3,Hispanic / Mid-low income,0.585511841100076,34,pct_age65,0.119352414753211,Age 65+,Household,14,0.1356715533325382,0.047705558667958094,-0.34208044167163487,3,11
3,Hispanic / Mid-low income,0.585511841100076,34,disability_rate,0.0997708830882119,Disability,Household,14,0.10367445532547415,0.03367173118128822,-0.11593025069740125,3,12
3,Hispanic / Mid-low income,0.585511841100076,34,elderly_alone_rate,0.238590237136301,Older adults alone,Household,14,0.24624007372913156,0.08536503061445375,-0.08961323551069293,3,13
3,Hispanic / Mid-low income,0.585511841100076,34,language_isolation,0.127909545284795,Language isolation,Household,14,0.09839067894886971,0.07354021388233704,0.40139761332697405,3,14
3,Hispanic / Mid-low income,0.585511841100076,34,no_phone_rate,0.021218936023847,No phone,Household,14,0.017067492490141105,0.005222091766650528,0.7949771316195484,3,15
3,Hispanic / Mid-low income,0.585511841100076,34,alt_housing_rate,0.0051481639252387,Alternative housing,Housing,14,0.015799856769518,0.0245727352235202,-0.4334760761221183,3,16
3,Hispanic / Mid-low income,0.585511841100076,34,old_housing_rate,0.757243766542156,Pre-1980 housing,Housing,14,0.7109108994633893,0.14186395207651686,0.3266007072309409,3,17
3,Hispanic / Mid-low income,0.585511841100076,34,renter_burden_rate,0.577984872281489,Rent burden,Housing,14,0.5409131604647176,0.04991350652506598,0.7427190433546158,3,18
3,Hispanic / Mid-low income,0.585511841100076,34,housing_overcrowding,0.0113218507879072,Overcrowding,Housing,14,0.007272672234204457,0.007259237265016361,0.557796694869928,3,19
